PART-Article,Data
PART XVI - 338B,"(1) There shall be a Commission for the socially and educationallybackward classes to be known as the National Commission for Backward Classes.(2) Subject to the provisions of any law made in this behalf by Parliament, theCommission shall consist of a Chairperson, Vice-Chairperson and three other Membersand the conditions of service and tenure of office of the Chairperson, Vice-Chairpersonand other Members so appointed shall be such as the President may by rule determine.(3) The Chairperson, Vice-Chairperson and other Members of the Commissionshall be appointed by the President by warrant under his hand and seal.(4) The Commission shall have the power to regulate its own procedure.(5) It shall be the duty of the Commission—(a) to investigate and monitor all matters relating to the safeguards providedfor the socially and educationally backward classes under this Constitution orunder any other law for the time being in force or under any order of theGovernment and to evaluate the working of such safeguards;(b) to inquire into specific complaints with respect to the deprivation ofrights and safeguards of the socially and educationally backward classes;(c) to participate and advise on the socio-economic development of thesocially and educationally backward classes and to evaluate the progress oftheir development under the Union and any State;(d) to present to the President, annually and at such other times as theCommission may deem fit, reports upon the working of those safeguards;(e) to make in such reports the recommendations as to the measures thatshould be taken by the Union or any State for the effective implementation ofthose safeguards and other measures for the protection, welfare andsocio-economic development of the socially and educationally backward classes;and(f ) to discharge such other functions in relation to the protection, welfareand development and advancement of the socially and educationally backwardclasses as the President may, subject to the provisions of any law made byParliament, by rule specify.(6) The President shall cause all such reports to be laid before each House ofParliament along with a memorandum explaining the action taken or proposed to betaken on the recommendations relating to the Union and the reasons for the non-acceptance, if any, of any of such recommendations.(7) Where any such report, or any part thereof, relates to any matter with whichany State Government is concerned, a copy of such report shall be forwarded to theState Government which shall cause it to be laid before the Legislature of the Statealong with a memorandum explaining the action taken or proposed to be taken on therecommendations relating to the State and the reasons for the non-acceptance, if any,of any of such recommendations.(8) The Commission shall, while investigating any matter referred to insub-clause (a) or inquiring into any complaint referred to in sub-clause (b) of clause (5),have all the powers of a civil court trying a suit and in particular in respect of thefollowing matters, namely:—(a) summoning and enforcing the attendance of any person from any partof India and examining him on oath;(b) requiring the discovery and production of any document;(c) receiving evidence on affidavits;(d) requisitioning any public record or copy thereof from any court oroffice;(e) issuing commissions for the examination of witnesses and documents;(f) any other matter which the President may, by rule, determine.(9) The Union and every State Government shall consult the Commission on allmajor policy matters affecting the socially and educationally backward classes."
PART XVI - 339,"Control of the Union over the administration of ScheduledAreas and the welfare of Scheduled Tribes.—(1) The President may at anytime and shall, at the expiration of ten years from the commencement of thisConstitution by order appoint a Commission to report on the administration ofthe Scheduled Areas and the welfare of the Scheduled Tribes in the States.The order may define the composition, powers and procedure of theCommission and may contain such incidental or ancillary provisions as thePresident may consider necessary or desirable.(2) The executive power of the Union shall extend to the giving ofdirections to a State as to the drawing up and execution of schemes specified inthe direction to be essential for the welfare of the Scheduled Tribes in the State."
PART XVI - 340,"Appointment of a Commission to investigate the conditions ofbackward classes.—(1) The President may by order appoint a Commissionconsisting of such persons as he thinks fit to investigate the conditions ofsocially and educationally backward classes within the territory of India and thedifficulties under which they labour and to make recommendations as to thesteps that should be taken by the Union or any State to remove such difficultiesand to improve their condition and as to the grants that should be made for thepurpose by the Union or any State and the conditions subject to which suchgrants should be made, and the order appointing such Commission shall definethe procedure to be followed by the Commission.173(2) A Commission so appointed shall investigate the matters referred tothem and present to the President a report setting out the facts as found by themand making such recommendations as they think proper.(3) The President shall cause a copy of the report so presented togetherwith a memorandum explaining the action taken thereon to be laid before eachHouse of Parliament."
PART XVI - 341,"Scheduled Castes.—(1) The President may with respect to anyState or Union territory, and where it is a State, after consultation with theGovernor thereof, by public notification, specify the castes, races or tribes orparts of or groups within castes, races or tribes which shall for the purposes ofthis Constitution be deemed to be Scheduled Castes in relation to that State orUnion territory, as the case may be.(2) Parliament may by law include in or exclude from the list ofScheduled Castes specified in a notification issued under clause (1) any caste,race or tribe or part of or group within any caste, race or tribe, but save asaforesaid a notification issued under the said clause shall not be varied by anysubsequent notification."
PART XVI - 342,"Scheduled Tribes.—(1) The President may with respect to anyState or Union territory, and where it is a State, after consultation with theGovernor thereof, by public notification, specify the tribes or tribalcommunities or parts of or groups within tribes or tribal communities whichshall for the purposes of this Constitution be deemed to be Scheduled Tribes inrelation to that State or Union territory, as the case may be.(2) Parliament may by law include in or exclude from the list ofScheduled Tribes specified in a notification issued under clause (1) any tribe ortribal community or part of or group within any tribe or tribal community, butsave as aforesaid a notification issued under the said clause shall not be variedby any subsequent notification.342A. (1) The President may with respect to any State or Union territory, andwhere it is a State, after consultation with the Governor thereof, by public notification,specify the socially and educationally backward classes which shall for the purposesof this Constitution be deemed to be socially and educationally backward classes inrelation to that State or Union territory, as the case may be.(2) Parliament may by law include in or exclude from the Central List of sociallyand educationally backward classes specified in a notification issued under clause (1)any socially and educationally backward class, but save as aforesaid a notificationissued under the said clause shall not be varied by any subsequent notification"
PART XVII - 343,"Official language of the Union.—(1) The official language of theUnion shall be Hindi in Devanagari script.The form of numerals to be used for the official purposes of the Unionshall be the international form of Indian numerals.(2) Notwithstanding anything in clause (1), for a period of fifteen yearsfrom the commencement of this Constitution, the English language shallcontinue to be used for all the official purposes of the Union for which it wasbeing used immediately before such commencement:Provided that the President may, during the said period, by orderauthorise the use of the Hindi language in addition to the English language andof the Devanagari form of numerals in addition to the international form ofIndian numerals for any of the official purposes of the Union.(3) Notwithstanding anything in this article, Parliament may by lawprovide for the use, after the said period of fifteen years, of—(a) the English language, or(b) the Devanagari form of numerals,for such purposes as may be specified in the law."
PART XVII - 344,"Commission and Committee of Parliament on officiallanguage.—(1) The President shall, at the expiration of five years from thecommencement of this Constitution and thereafter at the expiration of ten yearsfrom such commencement, by order constitute a Commission which shallconsist of a Chairman and such other members representing the differentlanguages specified in the Eighth Schedule as the President may appoint, andthe order shall define the procedure to be followed by the Commission.(2) It shall be the duty of the Commission to make recommendations tothe President as to—(a) the progressive use of the Hindi language for the officialpurposes of the Union;(b) restrictions on the use of the English language for all or any ofthe official purposes of the Union;(c) the language to be used for all or any of the purposesmentioned in article 348;174175(d) the form of numerals to be used for any one or more specifiedpurposes of the Union;(e) any other matter referred to the Commission by the Presidentas regards the official language of the Union and the language forcommunication between the Union and a State or between one State andanother and their use.(3) In making their recommendations under clause (2), the Commissionshall have due regard to the industrial, cultural and scientific advancement ofIndia, and the just claims and the interests of persons belonging to the nonHindi speaking areas in regard to the public services.(4) There shall be constituted a Committee consisting of thirty members,of whom twenty shall be members of the House of the People and ten shall bemembers of the Council of States to be elected respectively by the members ofthe House of the People and the members of the Council of States inaccordance with the system of proportional representation by means of thesingle transferable vote.(5) It shall be the duty of the Committee to examine therecommendations of the Commission constituted under clause (1) and to reportto the President their opinion thereon.(6) Notwithstanding anything in article 343, the President may, afterconsideration of the report referred to in clause (5), issue directions inaccordance with the whole or any part of that report.CHAPTER II.—REGIONAL LANGUAGES"
PART XVII - 345,"Official language or languages of a State.—Subject to theprovisions of articles 346 and 347, the Legislature of a State may by law adoptany one or more of the languages in use in the State or Hindi as the language orlanguages to be used for all or any of the official purposes of that State:Provided that, until the Legislature of the State otherwise provides bylaw, the English language shall continue to be used for those official purposeswithin the State for which it was being used immediately before thecommencement of this Constitution."
PART XVII - 346,"Official language for communication between one State andanother or between a State and the Union.—The language for the time beingauthorised for use in the Union for official purposes shall be the officiallanguage for communication between one State and another State and betweena State and the Union:176Provided that if two or more States agree that the Hindi language shouldbe the official language for communication between such States, that languagemay be used for such communication."
PART XVII - 347,"Special provision relating to language spoken by a section of thepopulation of a State.—On a demand being made in that behalf the Presidentmay, if he is satisfied that a substantial proportion of the population of a Statedesire the use of any language spoken by them to be recognised by that State,direct that such language shall also be officially recognised throughout thatState or any part thereof for such purpose as he may specify.CHAPTER III.—LANGUAGE OF THE SUPREME COURT,HIGH COURTS, ETC."
PART XVII - 348,"Language to be used in the Supreme Court and in the HighCourts and for Acts, Bills, etc.—(1) Notwithstanding anything in theforegoing provisions of this Part, until Parliament by law otherwise provides—(a) all proceedings in the Supreme Court and in every High Court,(b) the authoritative texts—(i) of all Bills to be introduced or amendments thereto to bemoved in either House of Parliament or in the House or eitherHouse of the Legislature of a State,(ii) of all Acts passed by Parliament or the Legislature of aState and of all Ordinances promulgated by the President or theGovernor of a State, and(iii) of all orders, rules, regulations and bye-laws issuedunder this Constitution or under any law made by Parliament orthe Legislature of a State,shall be in the English language.(2) Notwithstanding anything in sub-clause (a) of clause (1), theGovernor of a State may, with the previous consent of the President, authorisethe use of the Hindi language, or any other language used for any officialpurposes of the State, in proceedings in the High Court having its principal seatin that State:Provided that nothing in this clause shall apply to any judgment, decreeor order passed or made by such High Court.177(3) Notwithstanding anything in sub-clause (b) of clause (1), where theLegislature of a State has prescribed any language other than the Englishlanguage for use in Bills introduced in, or Acts passed by, the Legislature of theState or in Ordinances promulgated by the Governor of the State or in any order,rule, regulation or bye-law referred to in paragraph (iii) of that sub-clause, atranslation of the same in the English language published under the authority ofthe Governor of the State in the Official Gazette of that State shall be deemed tobe the authoritative text thereof in the English language under this article."
PART XVII - 349,"Special procedure for enactment of certain laws relating tolanguage.—During the period of fifteen years from the commencement of thisConstitution, no Bill or amendment making provision for the language to beused for any of the purposes mentioned in clause (1) of article 348 shall beintroduced or moved in either House of Parliament without the previoussanction of the President, and the President shall not give his sanction to theintroduction of any such Bill or the moving of any such amendment exceptafter he has taken into consideration the recommendations of the Commissionconstituted under clause (1) of article 344 and the report of the Committeeconstituted under clause (4) of that article.CHAPTER IV.—SPECIAL DIRECTIVES"
PART XVII - 350,"Language to be used in representations for redress ofgrievances.—Every person shall be entitled to submit a representation for theredress of any grievance to any officer or authority of the Union or a State inany of the languages used in the Union or in the State, as the case may be."
PART XVII - 350A,Facilities for instruction in mother-tongue at primary stage.—It shall be the endeavour of every State and of every local authority within theState to provide adequate facilities for instruction in the mother-tongue at theprimary stage of education to children belonging to linguistic minority groups;and the President may issue such directions to any State as he considersnecessary or proper for securing the provision of such facilities.
PART XVII - 350B,"Special Officer for linguistic minorities.—(1) There shall be aSpecial Officer for linguistic minorities to be appointed by the President.(2) It shall be the duty of the Special Officer to investigate all matters relatingto the safeguards provided for linguistic minorities under this Constitution andreport to the President upon those matters at such intervals as the President maydirect, and the President shall cause all such reports to be laid before each House ofParliament, and sent to the Governments of the States concerned.178"
PART XVII - 351,"Directive for development of the Hindi language.—It shall be theduty of the Union to promote the spread of the Hindi language, to develop it sothat it may serve as a medium of expression for all the elements of thecomposite culture of India and to secure its enrichment by assimilating withoutinterfering with its genius, the forms, style and expressions used in Hindustaniand in the other languages of India specified in the Eighth Schedule, and bydrawing, wherever necessary or desirable, for its vocabulary, primarily onSanskrit and secondarily on other languages."
PART XVIII - 352,"Proclamation of Emergency.—(1) If the President is satisfied thata grave emergency exists whereby the security of India or of any part of theterritory thereof is threatened, whether by war or external aggression or armedrebellion, he may, by Proclamation, make a declaration to that effect in respectof the whole of India or of such part of the territory thereof as may be specifiedin the Proclamation.Explanation.—A Proclamation of Emergency declaring that the securityof India or any part of the territory thereof is threatened by war or by externalaggression or by armed rebellion may be made before the actual occurrence ofwar or of any such aggression or rebellion, if the President is satisfied that thereis imminent danger thereof.(2) A Proclamation issued under clause (1) may be varied or revoked bya subsequent Proclamation.(3) The President shall not issue a Proclamation under clause (1) or aProclamation varying such Proclamation unless the decision of the UnionCabinet (that is to say, the Council consisting of the Prime Minister and otherMinisters of Cabinet rank appointed under article 75) that such a Proclamationmay be issued has been communicated to him in writing.(4) Every Proclamation issued under this article shall be laid before eachHouse of Parliament and shall, except where it is a Proclamation revoking aprevious Proclamation, cease to operate at the expiration of one month unlessbefore the expiration of that period it has been approved by resolutions of bothHouses of Parliament:Provided that if any such Proclamation (not being a Proclamationrevoking a previous Proclamation) is issued at a time when the House of thePeople has been dissolved, or the dissolution of the House of the People takesplace during the period of one month referred to in this clause, and if aresolution approving the Proclamation has been passed by the Council ofStates, but no resolution with respect to such Proclamation has been passed bythe House of the People before the expiration of that period, the Proclamationshall cease to operate at the expiration of thirty days from the date on which theHouse of the People first sits after its reconstitution, unless before theexpiration of the said period of thirty days a resolution approving theProclamation has been also passed by the House of the People.179180(5) A Proclamation so approved shall, unless revoked, cease to operateon the expiration of a period of six months from the date of the passing of thesecond of the resolutions approving the Proclamation under clause (4):Provided that if and so often as a resolution approving the continuance inforce of such a Proclamation is passed by both Houses of Parliament theProclamation shall, unless revoked, continue in force for a further period of sixmonths from the date on which it would otherwise have ceased to operate underthis clause:Provided further that if the dissolution of the House of the People takesplace during any such period of six months and a resolution approving thecontinuance in force of such Proclamation has been passed by the Council ofStates but no resolution with respect to the continuance in force of suchProclamation has been passed by the House of the People during the saidperiod, the Proclamation shall cease to operate at the expiration of thirty daysfrom the date on which the House of the People first sits after its reconstitutionunless before the expiration of the said period of thirty days, a resolutionapproving the continuance in force of the Proclamation has been also passedby the House of the People.(6) For the purposes of clauses (4) and (5), a resolution may be passedby either House of Parliament only by a majority of the total membership ofthat House and by a majority of not less than two-thirds of the Members of thatHouse present and voting.(7) Notwithstanding anything contained in the foregoing clauses, thePresident shall revoke a Proclamation issued under clause (1) or a Proclamationvarying such Proclamation if the House of the People passes a resolutiondisapproving, or, as the case may be, disapproving the continuance in force of,such Proclamation.(8) Where a notice in writing signed by not less than one-tenth of thetotal number of members of the House of the People has been given, of theirintention to move a resolution for disapproving, or, as the case may be, fordisapproving the continuance in force of, a Proclamation issued under clause(1) or a Proclamation varying such Proclamation,—(a) to the Speaker, if the House is in session; or(b) to the President, if the House is not in session,a special sitting of the House shall be held within fourteen days from the date on whichsuch notice is received by the Speaker, or, as the case may be, by the President, for thepurpose of considering such resolution.181(9) The power conferred on the President by this article shall include thepower to issue different Proclamations on different grounds, being war orexternal aggression or armed rebellion or imminent danger of war or externalaggression or armed rebellion, whether or not there is a Proclamation alreadyissued by the President under clause (1) and such Proclamation is in operation."
PART XVIII - 353,"Effect of Proclamation of Emergency.—While a Proclamationof Emergency is in operation, then—(a) notwithstanding anything in this Constitution, the executivepower of the Union shall extend to the giving of directions to any Stateas to the manner in which the executive power thereof is to beexercised;(b) the power of Parliament to make laws with respect to anymatter shall include power to make laws conferring powers andimposing duties, or authorising the conferring of powers and theimposition of duties, upon the Union or officers and authorities of theUnion as respects that matter, notwithstanding that it is one which is notenumerated in the Union List:Provided that where a Proclamation of Emergency is in operation onlyin any part of the territory of India,—(i) the executive power of the Union to give directions underclause (a), and(ii) the power of Parliament to make laws under clause (b),shall also extend to any State other than a State in which or in any part ofwhich the Proclamation of Emergency is in operation if and in so far as thesecurity of India or any part of the territory thereof is threatened by activities inor in relation to the part of the territory of India in which the Proclamation ofEmergency is in operation."
PART XVIII - 354,"Application of provisions relating to distribution of revenueswhile a Proclamation of Emergency is in operation.—(1) The Presidentmay, while a Proclamation of Emergency is in operation, by order direct thatall or any of the provisions of articles 268 to 279 shall for such period, notextending in any case beyond the expiration of the financial year in which suchProclamation ceases to operate, as may be specified in the order, have effectsubject to such exceptions or modifications as he thinks fit.182(2) Every order made under clause (1) shall, as soon as may be after it ismade, be laid before each House of Parliament."
PART XVIII - 355,Duty of the Union to protect States against external aggressionand internal disturbance.—It shall be the duty of the Union to protect everyState against external aggression and internal disturbance and to ensure that theGovernment of every State is carried on in accordance with the provisions ofthis Constitution.
PART XVIII - 356,"Provisions in case of failure of constitutional machinery inStates.—(1) If the President, on receipt of a report from the Governor of a Stateor otherwise, is satisfied that a situation has arisen in which the Government ofthe State cannot be carried on in accordance with the provisions of thisConstitution, the President may by Proclamation—(a) assume to himself all or any of the functions of theGovernment of the State and all or any of the powers vested in orexercisable by the Governor or any body or authority in the State otherthan the Legislature of the State;(b) declare that the powers of the Legislature of the State shall beexercisable by or under the authority of Parliament;(c) make such incidental and consequential provisions as appearto the President to be necessary or desirable for giving effect to theobjects of the Proclamation, including provisions for suspending inwhole or in part the operation of any provisions of this Constitutionrelating to any body or authority in the State:Provided that nothing in this clause shall authorise the President toassume to himself any of the powers vested in or exercisable by a High Court,or to suspend in whole or in part the operation of any provision of thisConstitution relating to High Courts.(2) Any such Proclamation may be revoked or varied by a subsequentProclamation.(3) Every Proclamation under this article shall be laid before each Houseof Parliament and shall, except where it is a Proclamation revoking a previousProclamation, cease to operate at the expiration of two months unless beforethe expiration of that period it has been approved by resolutions of both Housesof Parliament:183Provided that if any such Proclamation (not being a Proclamationrevoking a previous Proclamation) is issued at a time when the House of thePeople is dissolved or the dissolution of the House of the People takes placeduring the period of two months referred to in this clause, and if a resolutionapproving the Proclamation has been passed by the Council of States, but noresolution with respect to such Proclamation has been passed by the House ofthe People before the expiration of that period, the Proclamation shall cease tooperate at the expiration of thirty days from the date on which the House of thePeople first sits after its reconstitution unless before the expiration of the saidperiod of thirty days a resolution approving the Proclamation has been alsopassed by the House of the People.(4) A Proclamation so approved shall, unless revoked, cease to operateon the expiration of a period of six months from the date of issue of theProclamation:Provided that if and so often as a resolution approving the continuance inforce of such a Proclamation is passed by both Houses of Parliament, theProclamation shall, unless revoked, continue in force for a further period ofsix months from the date on which under this clause it would otherwise haveceased to operate, but no such Proclamation shall in any case remain in forcefor more than three years:Provided further that if the dissolution of the House of the People takesplace during any such period of six months and a resolution approving thecontinuance in force of such Proclamation has been passed by the Council ofStates, but no resolution with respect to the continuance in force of suchProclamation has been passed by the House of the People during the saidperiod, the Proclamation shall cease to operate at the expiration of thirty daysfrom the date on which the House of the People first sits after its reconstitutionunless before the expiration of the said period of thirty days a resolutionapproving the continuance in force of the Proclamation has been also passedby the House of the People:Provided also that in the case of the Proclamation issued under clause (1)on the 11th day of May, 1987 with respect to the State of Punjab, the referencein the first proviso to this clause to “three years” shall be construed as areference to five years.(5) Notwithstanding anything contained in clause (4), a resolution withrespect to the continuance in force of a Proclamation approved under clause (3)for any period beyond the expiration of one year from the date of issue of suchProclamation shall not be passed by either House of Parliament unless—(a) a Proclamation of Emergency is in operation, in the whole ofIndia or, as the case may be, in the whole or any part of the State, at thetime of the passing of such resolution, and184(b) the Election Commission certifies that the continuance in forceof the Proclamation approved under clause (3) during the periodspecified in such resolution is necessary on account of difficulties inholding general elections to the Legislative Assembly of the Stateconcerned:Provided that nothing in this clause shall apply to the Proclamationissued under clause (1) on the 11th day of May, 1987 with respect to the Stateof Punjab."
PART XVIII - 357,"Exercise of legislative powers under Proclamation issued underarticle 356.— (1) Where by a Proclamation issued under clause (1) of article356, it has been declared that the powers of the Legislature of the State shall beexercisable by or under the authority of Parliament, it shall be competent—(a) for Parliament to confer on the President the power of theLegislature of the State to make laws, and to authorise the President todelegate, subject to such conditions as he may think fit to impose, thepower so conferred to any other authority to be specified by him in thatbehalf;(b) for Parliament, or for the President or other authority in whomsuch power to make laws is vested under sub-clause (a), to make lawsconferring powers and imposing duties, or authorising the conferring ofpowers and the imposition of duties, upon the Union or officers andauthorities thereof;(c) for the President to authorise when the House of the People isnot in session expenditure from the Consolidated Fund of the Statepending the sanction of such expenditure by Parliament.(2) Any law made in exercise of the power of the Legislature of the Stateby Parliament or the President or other authority referred to in sub-clause (a) ofclause (1) which Parliament or the President or such other authority would not,but for the issue of a Proclamation under article 356, have been competent tomake shall, after the Proclamation has ceased to operate, continue in force untilaltered or repealed or amended by a competent Legislature or other authority.185"
PART XVIII - 358,"Suspension of provisions of article 19 during emergencies.— (1)While a Proclamation of Emergency declaring that the security of India or anypart of the territory thereof is threatened by war or by external aggression is inoperation, nothing in article 19 shall restrict the power of the State as defined inPart III to make any law or to take any executive action which the State wouldbut for the provisions contained in that Part be competent to make or to take,but any law so made shall, to the extent of the incompetency, cease to haveeffect as soon as the Proclamation ceases to operate, except as respects thingsdone or omitted to be done before the law so ceases to have effect:Provided that where such Proclamation of Emergency is in operationonly in any part of the territory of India, any such law may be made, or anysuch executive action may be taken, under this article in relation to or in anyState or Union territory in which or in any part of which the Proclamation ofEmergency is not in operation, if and in so far as the security of India or anypart of the territory thereof is threatened by activities in or in relation to the partof the territory of India in which the Proclamation of Emergency is inoperation.(2) Nothing in clause (1) shall apply—(a) to any law which does not contain a recital to the effect thatsuch law is in relation to the Proclamation of Emergency in operationwhen it is made; or(b) to any executive action taken otherwise than under a lawcontaining such a recital."
PART XVIII - 359,"Suspension of the enforcement of the rights conferred by PartIII during emergencies.—(1) Where a Proclamation of Emergency is inoperation, the President may by order declare that the right to move any courtfor the enforcement of such of the rights conferred by Part III (except articles20 and 21) as may be mentioned in the order and all proceedings pending inany court for the enforcement of the rights so mentioned shall remainsuspended for the period during which the Proclamation is in force or for suchshorter period as may be specified in the order.186(1A) While an order made under clause (1) mentioning any of the rightsconferred by Part III (except articles 20 and 21) is in operation, nothing in thatPart conferring those rights shall restrict the power of the State as defined in thesaid Part to make any law or to take any executive action which the State wouldbut for the provisions contained in that Part be competent to make or to take,but any law so made shall, to the extent of the incompetency, cease to haveeffect as soon as the order aforesaid ceases to operate, except as respects thingsdone or omitted to be done before the law so ceases to have effect:Provided that where a Proclamation of Emergency is in operation only inany part of the territory of India, any such law may be made, or any suchexecutive action may be taken, under this article in relation to or in any State orUnion territory in which or in any part of which the Proclamation ofEmergency is not in operation, if and in so far as the security of India or anypart of the territory thereof is threatened by activities in or in relation to the partof the territory of India in which the Proclamation of Emergency is inoperation.(1B) Nothing in clause (1A) shall apply—(a) to any law which does not contain a recital to the effect thatsuch law is in relation to the Proclamation of Emergency in operationwhen it is made; or(b) to any executive action taken otherwise than under a lawcontaining such a recital.(2) An order made as aforesaid may extend to the whole or any part ofthe territory of India:Provided that where a Proclamation of Emergency is in operation only ina part of the territory of India, any such order shall not extend to any other partof the territory of India unless the President, being satisfied that the security ofIndia or any part of the territory thereof is threatened by activities in or inrelation to the part of the territory of India in which the Proclamation ofEmergency is in operation, considers such extension to be necessary.(3) Every order made under clause (1) shall, as soon as may be after it ismade, be laid before each House of Parliament.187"
PART XVIII - 359A,"[Application of this Part to the State of Punjab.] Rep. by theConstitution (Sixty-third Amendment) Act, 1989, s. 3 (w.e.f. 6-1-1990)."
PART XVIII - 360,"Provisions as to financial emergency.—(1) If the President issatisfied that a situation has arisen whereby the financial stability or credit ofIndia or of any part of the territory thereof is threatened, he may by aProclamation make a declaration to that effect.(2) A Proclamation issued under clause (1)—(a) may be revoked or varied by a subsequent Proclamation;(b) shall be laid before each House of Parliament;(c) shall cease to operate at the expiration of two months, unlessbefore the expiration of that period it has been approved by resolutionsof both Houses of Parliament:Provided that if any such Proclamation is issued at a time when theHouse of the People has been dissolved or the dissolution of the House of thePeople takes place during the period of two months referred to in sub-clause(c), and if a resolution approving the Proclamation has been passed by theCouncil of States, but no resolution with respect to such Proclamation has beenpassed by the House of the People before the expiration of that period, theProclamation shall cease to operate at the expiration of thirty days from thedate on which the House of the People first sits after its reconstitution unlessbefore the expiration of the said period of thirty days a resolution approving theProclamation has been also passed by the House of the People.(3) During the period any such Proclamation as is mentioned in clause(1) is in operation, the executive authority of the Union shall extend to thegiving of directions to any State to observe such canons of financial proprietyas may be specified in the directions, and to the giving of such other directionsas the President may deem necessary and adequate for the purpose.(4) Notwithstanding anything in this Constitution—(a) any such direction may include—(i) a provision requiring the reduction of salaries and allowancesof all or any class of persons serving in connection with the affairs ofa State;188(ii) a provision requiring all Money Bills or other Bills to whichthe provisions of article 207 apply to be reserved for theconsideration of the President after they are passed by the Legislatureof the State;(b) it shall be competent for the President during the period anyProclamation issued under this article is in operation to issue directionsfor the reduction of salaries and allowances of all or any class of personsserving in connection with the affairs of the Union including the Judgesof the Supreme Court and the High Courts."
PART XIX - 361,"Protection of President and Governors and Rajpramukhs.—(1)The President, or the Governor or Rajpramukh of a State, shall not beanswerable to any court for the exercise and performance of the powers andduties of his office or for any act done or purporting to be done by him in theexercise and performance of those powers and duties:Provided that the conduct of the President may be brought under reviewby any court, tribunal or body appointed or designated by either House ofParliament for the investigation of a charge under article 61:Provided further that nothing in this clause shall be construed asrestricting the right of any person to bring appropriate proceedings against theGovernment of India or the Government of a State.(2) No criminal proceedings whatsoever shall be instituted or continuedagainst the President, or the Governor of a State, in any court during his term ofoffice.(3) No process for the arrest or imprisonment of the President, or theGovernor of a State, shall issue from any court during his term of office.(4) No civil proceedings in which relief is claimed against the President,or the Governor of a State, shall be instituted during his term of office in anycourt in respect of any act done or purporting to be done by him in his personalcapacity, whether before or after he entered upon his office as President, or asGovernor of such State, until the expiration of two months next after notice inwriting has been delivered to the President or the Governor, as the case may be,or left at his office stating the nature of the proceedings, the cause of actiontherefor, the name, description and place of residence of the party by whomsuch proceedings are to be instituted and the relief which he claims."
PART XIX - 361A,"Protection of publication of proceedings of Parliament andState Legislatures.—(1) No person shall be liable to any proceedings, civil orcriminal, in any court in respect of the publication in a newspaper of asubstantially true report of any proceedings of either House of Parliament or theLegislative Assembly, or, as the case may be, either House of the Legislature,of a State, unless the publication is proved to have been made with malice:189190Provided that nothing in this clause shall apply to the publication of anyreport of the proceedings of a secret sitting of either House of Parliament or theLegislative Assembly, or, as the case may be, either House of the Legislature,of a State.(2) Clause (1) shall apply in relation to reports or matters broadcast bymeans of wireless telegraphy as part of any programme or service provided bymeans of a broadcasting station as it applies in relation to reports or matterspublished in a newspaper.Explanation.—In this article, “newspaper” includes a news agency reportcontaining material for publication in a newspaper."
PART XIX - 361B,"Disqualification for appointment on remunerative politicalpost.—A member of a House belonging to any political party who isdisqualified for being a member of the House under paragraph 2 of the TenthSchedule shall also be disqualified to hold any remunerative political post forduration of the period commencing from the date of his disqualification till thedate on which the term of his office as such member would expire or till thedate on which he contests an election to a House and is declared elected,whichever is earlier.Explanation. — For the purposes of this article,—(a) the expression “House” has the meaning assigned to it in clause(a) of paragraph 1 of the Tenth Schedule;(b) the expression “remunerative political post” means any office—(i) under the Government of India or the Government of aState where the salary or remuneration for such office is paidout of the public revenue of the Government of India or theGovernment of the State, as the case may be; or(ii) under a body, whether incorporated or not, which iswholly or partially owned by the Government of India or theGovernment of State, and the salary or remuneration for suchoffice is paid by such body,except where such salary or remuneration paid is compensatory in nature."
PART XIX - 362,"[Rights and privileges of Rulers of Indian States.] Rep. by theConstitution (Twenty-sixth Amendment) Act, 1971, s. 2.191"
PART XIX - 363,"Bar to interference by courts in disputes arising out of certaintreaties, agreements, etc.—(1) Notwithstanding anything in this Constitutionbut subject to the provisions of article 143, neither the Supreme Court nor anyother court shall have jurisdiction in any dispute arising out of any provision ofa treaty, agreement, covenant, engagement, sanad or other similar instrumentwhich was entered into or executed before the commencement of thisConstitution by any Ruler of an Indian State and to which the Government ofthe Dominion of India or any of its predecessor Governments was a party andwhich has or has been continued in operation after such commencement, or inany dispute in respect of any right accruing under or any liability or obligationarising out of any of the provisions of this Constitution relating to any suchtreaty, agreement, covenant, engagement, sanad or other similar instrument.(2) In this article—(a) “Indian State” means any territory recognised before thecommencement of this Constitution by His Majesty or the Governmentof the Dominion of India as being such a State; and(b) “Ruler” includes the Prince, Chief or other person recognisedbefore such commencement by His Majesty or the Government of theDominion of India as the Ruler of any Indian State."
PART XIX - 363A,"Recognition granted to Rulers of Indian States to cease andprivy purses to be abolished.—Notwithstanding anything in this Constitutionor in any law for the time being in force—(a) the Prince, Chief or other person who, at any time before thecommencement of the Constitution (Twenty-sixth Amendment) Act,1971, was recognised by the President as the Ruler of an Indian State orany person who, at any time before such commencement, wasrecognised by the President as the successor of such ruler shall, on andfrom such commencement, cease to be recognised as such Ruler or thesuccessor of such Ruler;(b) on and from the commencement of the Constitution (Twentysixth Amendment) Act, 1971, privy purse is abolished and all rights,liabilities and obligations in respect of privy purse are extinguished andaccordingly the Ruler or, as the case may be, the successor of suchRuler, referred to in clause (a) or any other person shall not be paid anysum as privy purse.192"
